document,name,job,jobArea,jobType,phoneNumber,birthDate,city,state,totalSpent,tipo_doc,check_phone_Number,check_jobArea,ano
79880553489,Srta. Mamoru Braga,Assistente Qualidade Líder,Otimização,Agente,3400595936,14-05-1969,Yolando de Nossa Senhora,ES,779.47,Pessoa Física,True,False,1969
33617475469,Edjane Macedo,Consultor Mobilidade Produtos,Usabilidade,Consultor,7909883125,29-06-1969,Grande Mirabel,MA,276.26,Pessoa Física,True,False,1969
98067829845,Vitorio Franco,Agente Mobilidade Diretor,Operações,Administrador,23223994888,12-12-1969,Velha Lea de Nossa Senhora,DF,449.37,Pessoa Física,True,False,1969
42523383613132,Dr. Zulamar Carvalho,Produtor Soluções Líder,Criativo,Especialista,9939410453,13-02-1969,Túlio do Descoberto,RO,920.86,Pessoa Jurídica,True,False,1969
47528352667,Rozania Franco,Administrador Rede Central,Mercados,Representante,4511872254,07-08-1969,Gilfran do Descoberto,SC,441.21,Pessoa Física,True,False,1969
77634016802,Valéria Albuquerque,Analista Pesquisa Diretor,Dados,Designer,77503944046,08-05-1969,Júlio do Descoberto,CE,896.72,Pessoa Física,True,False,1969
48027402813042,Sra. Nílvio Moreira,Supervisor Prestação de contas Cliente,Métricas,Agente,19595234756,03-03-1969,Aparecida do Descoberto,PB,856.42,Pessoa Jurídica,True,False,1969
45117206485472,Dr. Eros Moraes,Supervisor Criativo Corporativo,Soluções,Supervisor,5124578008,27-03-1969,Vila Osmar de Nossa Senhora,PR,709.22,Pessoa Jurídica,True,False,1969
75451381208,Sra. Sebastião Carvalho Filho,Associado Programa Sênior,Integração,Assistente,95270257,09-11-1969,Andréia do Sul,CE,896.77,Pessoa Física,True,False,1969
11038738148,Atilio Moreira,Representante Usabilidade Interno,Diretivas,Planejador,4000686567,08-17-1969,Moraes do Descoberto,DF,583.84,Pessoa Física,True,False,1969
60275383920,Sra. Enithevaldo Oliveira,Especialista Rede Sênior,Programa,Diretor,5736453923,29-07-1969,Reis do Norte,PA,337.86,Pessoa Física,True,False,1969
69663683775,Sra. Rucy Costa,Analista Marca Corporativo,Comunicações,Associado,2488451922,13-12-1969,Nogueira do Descoberto,PI,211.62,Pessoa Física,True,False,1969
63082302244806,Lenilso Silva,Facilitador Marketing Sênior,Métricas,Diretor,5608109272,11-07-1969,Vila Nei de Nossa Senhora,PI,865.15,Pessoa Jurídica,True,False,1969
67113131514,Srta. Marilene Melo Jr.,Assistente Contas Investidor,Interações,Consultor,7498321529,12-29-1969,Vila Sônia,PR,751.88,Pessoa Física,True,False,1969
57677058442,Adinete Reis,Diretor Marketing Produtos,Táticas,Desenvolvedor,04407782899,28-06-1969,Grande Vivaldo,BA,345.2,Pessoa Física,True,False,1969
87531561205333,Floriano Moraes,Designer Segurança Investidor,Grupo,Especialista,7912262681,02-05-1969,Grande Christine do Norte,DF,403.18,Pessoa Jurídica,True,False,1969
37554472232,Dr. Idalina Reis Jr.,Estrategista Fatores Dinâmico,Ainfraestrutura,Especialista,7595360036,25-06-1969,Vila Cézar,SE,607.47,Pessoa Física,True,False,1969
63182393596,Iracy Santos Filho,Administrador Funcionalidade Diretor,Otimização,Representante,8579747098,02-07-1969,Nova Fabiana de Nossa Senhora,ES,443.97,Pessoa Física,True,False,1969
88310643576300,Sr. Cauê Batista,Planejador Diretivas Investidor,,Gerente,9873888861,11-26-1969,Elen do Norte,DF,412.1,Pessoa Jurídica,True,True,1969
20542661594,Sra. Sr. Thaíne Melo,Estrategista Resposta Nacional,Métricas,Desenvolvedor,16968327113,26-09-1969,Grande Tadashi do Norte,PB,594.74,Pessoa Física,True,False,1969
